1776452973.628537,3.3,15.2,49.5
1776452978.887512,4.8,15.2,49.5
1776452984.597429,8.9,15.3,49.5
1776452989.85335,3.2,15.3,49.5
1776452995.096534,2.8,15.3,49.5
1776453000.471755,2.0,15.2,49.5
1776453005.837295,6.7,15.2,49.5
1776453011.12589,6.0,15.3,49.5
1776453016.383693,4.7,15.3,49.5
1776453021.776311,4.3,15.4,49.5
1776453027.1547,11.6,15.4,49.5
1776453092.064327,100.0,15.4,49.5
1776453097.387824,8.5,15.1,49.5
1776453102.731709,4.8,15.1,49.5
1776453108.017631,3.2,15.1,49.5
1776453113.399859,6.8,15.2,49.5
1776453118.702183,4.0,15.1,49.5
1776453124.047801,3.6,15.1,49.5
1776453129.557207,4.4,15.2,49.5
1776453134.840275,3.6,15.2,49.5
1776453140.563015,3.3,15.2,49.5
1776453145.935604,3.0,15.2,49.5
1776453151.285524,3.2,15.1,49.5
1776453156.643423,3.2,15.1,49.5
1776453161.989714,3.2,15.1,49.5
1776453167.410025,4.3,15.1,49.5
1776453172.771129,9.7,15.2,49.5
1776453178.132828,5.8,15.3,49.5
1776453184.064745,9.7,15.3,49.5
1776453189.548164,12.7,15.5,49.5
